Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
145.398614  -7.610781   0.000000   3.186297  -4.730251  -2.133041   0.000000  -1.506182 -21.863722   0.000000   0.000000  36.305889 -58.425437  -4.740467   0.000000   8.198152   0.000000  70.667530   0.000000  54.246421   0.000000 -14.138259  42.105227   0.000000  -0.129513 -17.903481   0.000000   0.000000   0.000000 -10.988149 -10.815717 -11.192385   0.000000 -27.860117  -5.200383  -1.582393  -1.797174  -4.267441  59.512106   0.000000   0.000000   0.386721  -1.392117  -5.215030  -1.941812   0.000000  -1.926134  -1.509277   0.000000  -3.145048 -11.946234  17.611158   0.000000   0.000000  -9.374105  -8.836089 -16.090146 -10.837662  -2.801177 -11.109971  -8.710621   5.231129  -6.607016   0.000000  -1.860808   6.006212   4.869691  -3.226452   0.000000   5.624138  15.989145   0.000000   0.000000 103.349269 -31.723395 -37.814202  -8.893358  -1.138008  -0.771153   0.000000   0.000000  -3.215123  -1.957482   1.410585   0.000000  -1.285648  37.334676  -7.777889   9.663168   0.000000  27.952393  -9.322944   0.000000  16.155816   0.000000  45.713081   0.000000  -9.155369  13.882219  -2.108325 -41.896318   1.637183   3.366450  36.428932   0.000000   3.337789  -2.407952  -4.351001   0.000000  20.783945   5.497597   0.000000   6.950103   0.000000  10.085995   0.000000 -62.892650   1.687547  -1.841000  15.025238  -7.271241   0.000000   0.000000   7.791551  -7.786081   0.000000  15.894199  -4.481666   0.000000   7.037338   0.000000   0.000000   0.000000   0.000000   0.000000 -15.315968  -2.912663   0.000000   0.000000  -1.908093  -1.580348  -1.678048   0.000000   0.000000  19.990170  -1.912214   1.825018   0.000000  -9.476484   0.000000  -2.566598   0.000000   0.000000   9.153724   0.000000   0.000000 -54.851317  -1.911623  -7.406400  -0.093351  -0.003105   0.000000   6.597885   0.000000 -12.510975   0.000000  -1.995081  -7.998254 -30.194057 -15.009153   0.122748  -0.008084  -2.289465   0.000000   4.821525   0.000000   0.000000   5.491487   0.000000 -39.268023   0.000000   0.000000   0.000000  -8.196851  -6.184922   0.000000  -0.217351   5.323329   0.000000  -9.786538  -2.745989  -5.393600   0.000000   0.000000 -23.179560  -0.875147   0.000000  -0.649296   0.000000   0.000000  34.980202 -10.666057   5.047358   0.000000   1.379607  -3.275447   0.831006  -6.070132  -1.362254  -4.586886 -25.395266  -6.037988  -4.564894 -13.560299   0.042066   0.000000   0.592077   0.000000   0.000000   0.217270   0.000000
151.299029  -8.023447   0.000000   2.862091  -2.600981  -2.166703   0.000000  -1.494971 -17.893404   0.000000   0.000000  37.420851 -63.695784  -4.779365   0.000000   8.121587   0.000000  68.670276   0.000000  56.025065   0.000000 -10.562103  44.295624   0.000000  -0.337307 -17.901001   0.000000   0.000000   0.000000 -49.408443 -11.390582 -11.405252   0.000000 -13.592434  -6.024452  -2.035056  -3.265411  -9.420718  54.407571   0.000000   0.000000   0.547167  -1.402232  -4.394423  -2.003517   0.000000   1.839877  -1.468368   0.000000  -3.258297 -11.962068  17.595490   0.000000   0.000000  -9.005239  -8.757135 -16.154517 -10.881814  -2.962127 -11.062368  -8.865357   4.970833  -6.662377   0.000000  -1.769783   5.888940   4.236603  -3.260450   0.000000   4.914693  14.397998   0.000000   0.000000 103.367576 -19.672985 -38.981447  -9.030159  -1.248586  -0.713921   0.000000   0.000000  -3.136797  -1.950936   1.330546   0.000000  -1.427047  20.803846   9.923036   9.739399   0.000000  26.495883  -9.516552   0.000000  16.184895   0.000000  42.293299   0.000000  -9.207407  12.538824  -2.128200 -37.123169   1.680126   2.938458  36.349079   0.000000   1.303989  -3.251910  -5.243039   0.000000  20.317939   4.894013   0.000000   6.294353   0.000000   9.129686   0.000000 -52.008727  -4.138838  -1.704645  14.406503  -7.387634   0.000000   0.000000   6.550818  -7.199426   0.000000  16.036028  -4.457286   0.000000   6.369999   0.000000   0.000000   0.000000   0.000000   0.000000 -15.349734  -2.934392   0.000000   0.000000  -1.961988  -1.595043  -1.441528   0.000000   0.000000  21.487219  -1.666292   1.396125   0.000000  -8.237875   0.000000  -2.602413   0.000000   0.000000   8.781207   0.000000   0.000000 -55.002930  -2.605066  -6.148981  -0.011451  -0.002762   0.000000   6.498649   0.000000 -11.762370   0.000000  -2.129736  -8.025928 -31.229088 -15.134417   0.051303  -0.038658  -2.008071   0.000000   6.131918   0.000000   0.000000   5.355287   0.000000 -39.653895   0.000000   0.000000   0.000000  -8.220429  -5.500034   0.000000  -0.091667   5.183232   0.000000  -4.972536  -2.926537  -4.645843   0.000000   0.000000 -23.788469  -1.010671   0.000000  -0.672424   0.000000   0.000000  33.992138 -10.775850   5.035011   0.000000   1.289786  -3.091505   0.790979  -5.965833  -1.046572  -4.556585 -24.781591  -4.366169  -3.969987 -11.669344   0.007704   0.000000   0.575855   0.000000   0.000000   0.194705   0.000000
136.602510  -7.249662   0.000000   2.611528  -2.605836  -1.782424   0.000000  -1.585820 -15.761292   0.000000   0.000000  35.784712 -60.671893  -4.995028   0.000000   7.988644   0.000000  69.624447   0.000000  50.583830   0.000000 -13.508489  46.507672   0.000000  -0.653795 -17.680077   0.000000   0.000000   0.000000  -2.986518 -10.573084 -11.836290   0.000000 -24.459970  -5.779630  -1.521922  -1.497122  -2.076957  47.771354   0.000000   0.000000   0.384711  -0.725576  -3.301524  -2.084915   0.000000  -2.061162  -1.534773   0.000000  -3.250207 -11.958581  17.593574   0.000000   0.000000  -7.731793  -8.729304 -16.155097 -10.983087  -3.202598 -10.395133  -8.921823   3.681818  -5.701286   0.000000  -1.487916   5.697424   4.546710  -3.301925   0.000000   3.982954  11.853539   0.000000   0.000000 107.099255 -13.025553 -31.715203  -8.972401  -1.292107  -0.841550   0.000000   0.000000  -2.997768  -1.944833   1.178463   0.000000  -1.536423   9.554723 -32.155382  10.195823   0.000000  24.173125 -10.190062   0.000000  15.548184   0.000000  37.949582   0.000000  -9.400145  10.212966  -1.337878 -42.088951   1.783192   2.645217  40.723413   0.000000   1.118859  -2.618459  -4.843184   0.000000  19.578267   4.333918   0.000000   5.100667   0.000000  10.420639   0.000000 -30.366215   3.103454  -2.546440  15.076820  -7.536719   0.000000   0.000000   5.165078  -7.649223   0.000000  16.115811  -4.516730   0.000000   5.455694   0.000000   0.000000   0.000000   0.000000   0.000000 -15.275384  -3.115526   0.000000   0.000000  -2.059607  -1.630966  -1.653770   0.000000   0.000000  21.772342  -0.728017   0.535908   0.000000  -8.692601   0.000000  -2.046124   0.000000   0.000000   8.413614   0.000000   0.000000 -55.463925  -3.581592  -5.482122  -0.012034  -0.003074   0.000000   6.108251   0.000000 -12.030225   0.000000  -1.860879  -8.236900 -22.671045 -14.415455  -0.069491  -0.228757  -1.742229   0.000000   5.862041   0.000000   0.000000   5.702237   0.000000 -31.227463   0.000000   0.000000   0.000000  -7.821236  -5.325997   0.000000  -0.087999   4.920823   0.000000 -10.818777  -2.479561  -4.305321   0.000000   0.000000 -25.088116  -1.290796   0.000000  -0.796703   0.000000   0.000000  31.941880 -11.020164   4.396440   0.000000   1.076702  -2.593684   0.678369  -4.848218   1.255383  -4.488247 -23.679485  -6.346673  -4.831066 -11.080862  -0.082770   0.000000   0.666938   0.000000   0.000000   0.235913   0.000000
136.524653  -7.677030   0.000000   2.460413  -2.806309  -1.360074   0.000000  -1.566298 -15.681207   0.000000   0.000000  35.656474 -60.603407  -5.004980   0.000000   7.975762   0.000000  69.953964   0.000000  50.314168   0.000000 -13.540778  45.408624   0.000000  -0.559635 -17.779934   0.000000   0.000000   0.000000  -3.232040 -10.567786 -11.656655   0.000000 -25.423533  -5.709220  -1.542182  -1.578587  -2.510539  47.015487   0.000000   0.000000   0.306651  -0.739879  -3.371022  -2.078982   0.000000  -1.896231  -1.518643   0.000000  -3.279798 -11.979271  17.599638   0.000000   0.000000  -9.045717  -8.748135 -16.173320 -10.983836  -3.215754  -9.152649  -8.883680   3.322461  -5.681176   0.000000  -1.751637   5.672437   4.256505  -3.307281   0.000000   3.906098  11.564621   0.000000   0.000000 107.593352 -13.718846 -33.691693  -9.058771  -0.994729  -0.800176   0.000000   0.000000  -3.029765  -2.119691   1.066465   0.000000  -1.592663  23.945141 -35.776128   9.822270   0.000000  24.750047 -10.246386   0.000000  15.246366   0.000000  36.725416   0.000000  -9.441392   9.963961  -1.495326 -42.326780   1.783494   2.558137  38.976315   0.000000   1.193207  -2.656661  -4.856792   0.000000  19.352430   4.724572   0.000000   4.992125   0.000000   9.979540   0.000000 -27.953894   2.176634  -2.622806  14.383808  -7.541388   0.000000   0.000000   5.289535  -7.336015   0.000000  16.112761  -4.581640   0.000000   5.591651   0.000000   0.000000   0.000000   0.000000   0.000000 -15.330475  -3.043896   0.000000   0.000000  -2.044311  -1.628548  -1.575724   0.000000   0.000000  21.303630  -1.289857   0.483064   0.000000  -8.580879   0.000000  -2.353123   0.000000   0.000000   9.296212   0.000000   0.000000 -55.203327  -3.646957  -5.330858  -0.012419  -0.003068   0.000000   6.004297   0.000000 -11.969565   0.000000  -1.821967  -8.150620 -23.559610 -14.607819   0.219604  -0.294679  -2.123846   0.000000   5.524000   0.000000   0.000000   5.395247   0.000000 -30.081349   0.000000   0.000000   0.000000  -7.698798  -5.529448   0.000000  -0.079923   4.871754   0.000000 -10.865760  -2.322763  -4.248976   0.000000   0.000000 -25.220906  -1.309854   0.000000  -0.800405   0.000000   0.000000  32.127033 -11.022687   4.183694   0.000000   1.046425  -2.469941   0.648434  -5.241044   0.376893  -4.450676 -23.855167  -5.778906  -4.711301 -10.895003  -0.102455   0.000000   0.644635   0.000000   0.000000   0.073499   0.000000
138.061493  -8.088238   0.000000   2.782786  -2.427322  -1.577172   0.000000  -1.583393 -17.671039   0.000000   0.000000  37.638346 -59.094676  -5.003088   0.000000   8.004642   0.000000  69.547202   0.000000  50.885997   0.000000 -12.599990  43.975168   0.000000  -0.669519 -18.207703   0.000000   0.000000   0.000000  -4.394637 -10.593168 -11.575693   0.000000 -29.264473  -5.596189  -1.557335  -1.666037  -2.821822  48.217580   0.000000   0.000000   0.173454  -1.474950  -4.944614  -2.127520   0.000000  -0.468239  -1.522996   0.000000  -3.257465 -11.968579  17.575164   0.000000   0.000000 -10.853076  -8.726538 -16.157548 -10.965770  -3.172252  -8.599412  -9.066273   4.039830  -5.949066   0.000000  -1.256553   5.744170   4.851696  -3.299429   0.000000   4.093468  12.141381   0.000000   0.000000 100.607505 -20.610069 -37.972646  -9.340577  -1.107323  -0.915877   0.000000   0.000000  -3.080433  -1.837186   1.152429   0.000000  -1.653889  48.997795 -34.269731   9.663437   0.000000  24.678485  -8.950693   0.000000  16.297451   0.000000  36.793685   0.000000  -9.286860  10.579834  -2.274343 -42.487884   1.774606   2.636589  36.998164   0.000000   1.512137  -2.699590  -4.759754   0.000000  19.805926   4.211199   0.000000   5.242698   0.000000   9.791053   0.000000 -30.788636   2.417721  -2.492130  13.754681  -7.604942   0.000000   0.000000   5.911581  -7.958409   0.000000  15.870040  -4.494665   0.000000   6.307237   0.000000   0.000000   0.000000   0.000000   0.000000 -15.177506  -3.001321   0.000000   0.000000  -2.065340  -1.629576  -1.610269   0.000000   0.000000  20.916598  -2.212114   0.546317   0.000000  -8.545659   0.000000  -2.482527   0.000000   0.000000   9.741167   0.000000   0.000000 -54.809008  -3.568192  -5.478306  -0.013126  -0.003654   0.000000   6.126389   0.000000 -12.148134   0.000000  -1.797703  -8.182471 -25.640721 -14.888564   0.225235  -0.175548  -2.667643   0.000000   5.164225   0.000000   0.000000   5.218801   0.000000 -33.818243   0.000000   0.000000   0.000000  -7.737537  -5.597300   0.000000  -0.102557   4.902357   0.000000 -10.551253  -2.779793  -4.312165   0.000000   0.000000 -25.074013  -1.269856   0.000000  -0.759131   0.000000   0.000000  33.216632 -11.001186   4.710312   0.000000   1.058082  -2.575034   0.678044  -4.653300   1.710610  -4.363225 -24.626830  -4.988457  -4.624432 -11.002941  -0.088648   0.000000   0.750962   0.000000   0.000000   0.203213   0.000000
139.748812  -8.557535   0.000000   3.292413  -3.404954  -2.021779   0.000000  -1.593031 -23.304757   0.000000   0.000000  41.551566 -56.770598  -4.929381   0.000000   8.098899   0.000000  69.939888   0.000000  47.616554   0.000000 -15.542301  44.806802   0.000000  -0.555471 -18.470272   0.000000   0.000000   0.000000  -3.251839 -10.986439 -11.935166   0.000000 -15.344697  -4.971728  -1.325520  -1.312160  -2.229610  55.948524   0.000000   0.000000  -0.339244  -1.600065  -5.223546  -1.967436   0.000000  -5.465256  -1.569811   0.000000  -3.113132 -12.018547  17.557664   0.000000   0.000000 -11.055602  -8.823716 -16.070225 -10.894828  -2.961842  -7.604597  -9.189703   5.002418  -6.833734   0.000000  -1.025621   2.847973   6.075556  -3.261330   0.000000   5.132005  14.834538   0.000000   0.000000  93.874646 -32.473130 -40.821400 -10.746883  -1.105481  -1.137326   0.000000   0.000000  -3.331676  -1.517508   1.289335   0.000000  -1.872503  49.091662 -25.905973   8.131711   0.000000  26.517784  -8.303869   0.000000  17.374465   0.000000  42.570502   0.000000  -8.845051  12.894832  -2.302957 -36.831417   1.732391   2.998904  39.894527   0.000000   1.470616  -2.237208  -3.718164   0.000000  21.033076   4.361741   0.000000   6.129251   0.000000  11.240725   0.000000 -50.904849   2.726295  -1.877482  15.385554  -7.575784   0.000000   0.000000   6.803736  -9.149950   0.000000  15.334459  -4.489870   0.000000   5.480188   0.000000   0.000000   0.000000   0.000000   0.000000 -14.949041  -2.799822   0.000000   0.000000  -1.993822  -1.587361  -1.554049   0.000000   0.000000  21.471639  -1.582696   1.000727   0.000000  -9.665030   0.000000  -2.813840   0.000000   0.000000  10.463444   0.000000   0.000000 -55.004601  -2.819136  -6.986919  -0.012355  -0.004285   0.000000   6.352446   0.000000 -13.761841   0.000000  -1.802595  -7.605986 -25.912386 -14.815320   0.416081  -0.025441  -2.731138   0.000000   6.432232   0.000000   0.000000   6.235993   0.000000 -31.706305   0.000000   0.000000   0.000000  -8.221452  -5.099753   0.000000  -0.188767   4.951233   0.000000 -11.023440  -2.802192  -4.993285   0.000000   0.000000 -23.822000  -1.114488   0.000000  -0.648075   0.000000   0.000000  35.696031 -10.886527   5.313952   0.000000   1.124485  -2.626612   0.728031  -4.469182   2.417039  -4.249684 -23.699303 -15.253695  -4.987157 -12.664981  -0.053142   0.000000   0.871665   0.000000   0.000000   0.052779   0.000000
142.567597  -8.596805   0.000000   4.247533  -4.564304  -2.603934   0.000000  -1.710018 -35.533862   0.000000   0.000000  41.631146 -57.707447  -4.731483   0.000000   8.154591   0.000000  71.704885   0.000000  51.537568   0.000000 -18.757422  46.508778   0.000000  -0.261373 -19.111327   0.000000   0.000000   0.000000 -10.766746 -11.748261 -11.774076   0.000000 -33.811472  -4.835490  -1.610853  -2.170665  -4.022096  66.003792   0.000000   0.000000  -0.261392  -1.574784  -5.451172  -1.859645   0.000000  -3.689335  -1.592521   0.000000  -3.053492 -12.112694  17.586515   0.000000   0.000000 -10.971538  -9.058671 -16.026998 -10.835458  -2.732799  -5.338555  -8.955535   5.543333  -8.549197   0.000000  -5.645624   0.595381   5.720667  -3.226423   0.000000   6.586055  18.399471   0.000000   0.000000  99.120653 -32.055447 -40.324809 -16.040528  -0.503058  -1.044094   0.000000   0.000000  -3.800463  -1.693108   0.852154   0.000000  -2.190841  49.155272 -17.672450   8.468254   0.000000  30.265954  -7.492435   0.000000  17.624938   0.000000  49.035781   0.000000  -8.752116  15.020050  -2.643624 -41.096893   1.686180   3.451016  43.743845   0.000000   2.823901  -2.348767  -3.600517   0.000000  22.440398   5.231997   0.000000   7.001422   0.000000  12.242879   0.000000 -62.862296  -2.681950  -0.819057  17.863991  -7.386219   0.000000   0.000000   8.116054  -8.907066   0.000000  15.238907  -4.707621   0.000000   8.066714   0.000000   0.000000   0.000000   0.000000   0.000000 -14.638476  -2.359879   0.000000   0.000000  -1.887690  -1.567666  -1.751020   0.000000   0.000000  22.839143  -0.874954   1.606002   0.000000 -10.845904   0.000000  -2.560777   0.000000   0.000000  13.037510   0.000000   0.000000 -55.231643  -1.934797  -7.521655  -0.441993  -0.003921   0.000000   6.422899   0.000000 -13.995730   0.000000  -1.202028  -7.070631 -26.430169 -13.437592   0.961876  -0.004547  -2.704399   0.000000   6.327694   0.000000   0.000000   6.606853   0.000000 -36.866900   0.000000   0.000000   0.000000  -8.162270  -5.023084   0.000000  -0.325669   5.145925   0.000000 -11.299969  -2.373281  -5.865574   0.000000   0.000000 -23.005764  -0.939528   0.000000  -0.582737   0.000000   0.000000  38.185750 -10.768156   5.382418   0.000000   1.261595  -2.134201   0.775373  -3.434311   4.484142  -3.827531 -26.145462  -7.777486  -5.626508 -14.762265  -0.001955   0.000000   1.161448   0.000000   0.000000  -0.075650   0.000000
146.232981  -8.186133   0.000000   4.079850  -5.552830  -2.534411   0.000000  -1.635806 -35.739829   0.000000   0.000000  41.391681 -62.348989  -4.614262   0.000000   8.230645   0.000000  72.265478   0.000000  52.566758   0.000000 -17.012025  49.574631   0.000000   0.006214 -19.013648   0.000000   0.000000   0.000000 -42.504939 -12.901195 -12.374471   0.000000 -29.000908  -5.476383  -2.020341  -3.417557  -8.095387  71.165494   0.000000   0.000000  -0.117966  -1.612825  -5.385095  -1.752703   0.000000  -1.973210  -1.570123   0.000000  -3.030288 -12.116994  17.581572   0.000000   0.000000 -10.772317  -9.144742 -15.994901 -10.792165  -2.716753  -5.182640  -8.985195   5.911162  -9.685128   0.000000  -7.468784   0.840419   6.780538  -3.206910   0.000000   7.319303  18.934574   0.000000   0.000000  99.794160 -23.899215 -44.515371 -17.423098  -0.487605  -1.233684   0.000000   0.000000  -3.798692  -1.684606   0.673505   0.000000  -2.240776  49.539275  -8.564882   9.387532   0.000000  33.253715  -7.391496   0.000000  18.011322   0.000000  51.637129   0.000000  -8.558742  16.179475  -2.701266 -41.323963   1.656387   3.498823  47.994047   0.000000   1.532026  -2.910272  -3.568115   0.000000  23.060386   5.026685   0.000000   7.428218   0.000000  13.337132   0.000000 -62.833461  -2.786953  -0.636346  19.322320  -7.369985   0.000000   0.000000   8.571152  -9.831451   0.000000  15.227147  -4.677455   0.000000   9.113147   0.000000   0.000000   0.000000   0.000000   0.000000 -14.625177  -2.406735   0.000000   0.000000  -1.816406  -1.543875  -1.958205   0.000000   0.000000  24.666655  -0.575880   1.817361   0.000000 -11.127200   0.000000  -2.489161   0.000000   0.000000  13.480925   0.000000   0.000000 -55.476536  -1.621826  -7.454879  -0.716670  -0.004629   0.000000   6.519709   0.000000 -14.330649   0.000000  -1.489063  -7.176225 -28.147396 -14.904112   1.021954   0.054600  -2.701752   0.000000   8.060054   0.000000   0.000000   7.028730   0.000000 -40.792481   0.000000   0.000000   0.000000  -8.098746  -4.213173   0.000000  -0.372461   5.147089   0.000000 -11.185124  -2.734837  -6.211562   0.000000   0.000000 -22.640864  -0.867127   0.000000  -0.518592   0.000000   0.000000  39.905195 -10.686686   5.591049   0.000000   1.295019  -2.100939   0.793329  -3.759902   4.060503  -3.763174 -26.957153  -5.774050  -5.209670 -15.748480   0.013886   0.000000   1.110885   0.000000   0.000000  -0.071246   0.000000
145.619351  -6.366463   0.000000   4.503146  -4.644198  -2.685681   0.000000  -1.713747 -35.811002   0.000000   0.000000  41.582041 -63.273378  -4.575369   0.000000   8.206872   0.000000  72.956463   0.000000  53.577361   0.000000 -16.077413  51.414415   0.000000  -0.140698 -19.132096   0.000000   0.000000   0.000000 -58.491138 -13.431012 -12.031183   0.000000 -21.909263  -5.713448  -2.274253  -4.078654 -13.649473  71.787800   0.000000   0.000000  -0.133487  -1.616064  -5.407360  -1.771715   0.000000  -1.573528  -1.579527   0.000000  -3.047710 -12.125839  17.580144   0.000000   0.000000  -9.652780  -9.176621 -16.013589 -10.798271  -2.714595  -4.797279  -8.997273   5.754142  -9.492527   0.000000  -7.698932   0.831351   5.970483  -3.209809   0.000000   7.385175  19.037248   0.000000   0.000000 101.113208 -18.164361 -50.622761 -17.407552  -0.462364  -1.219906   0.000000   0.000000  -3.808799  -1.690671   0.620625   0.000000  -2.281864  45.806055  -1.992547   9.016499   0.000000  31.689007  -7.338576   0.000000  17.958252   0.000000  52.637257   0.000000  -8.580286  16.205367  -2.734404 -40.093946   1.656785   3.474845  48.425598   0.000000   1.653005  -3.563360  -4.017786   0.000000  23.258178   4.884812   0.000000   7.440464   0.000000  13.462238   0.000000 -62.724302  -2.104371  -0.352097  20.015391  -7.407333   0.000000   0.000000   8.879894  -9.143057   0.000000  15.223937  -4.702544   0.000000   8.935899   0.000000   0.000000   0.000000   0.000000   0.000000 -14.512025  -2.448236   0.000000   0.000000  -1.846864  -1.553880  -2.018390   0.000000   0.000000  25.894703  -0.484860   1.853734   0.000000 -11.047098   0.000000  -2.484384   0.000000   0.000000  13.510119   0.000000   0.000000 -55.561533  -1.600365  -7.457095  -0.729178  -0.004093   0.000000   6.455066   0.000000 -14.270049   0.000000  -1.450367  -7.130053 -27.038657 -14.832699   1.062686   0.022357  -2.703910   0.000000   7.797952   0.000000   0.000000   7.005031   0.000000 -41.552265   0.000000   0.000000   0.000000  -8.111120  -3.816401   0.000000  -0.278322   5.136034   0.000000 -11.080222  -2.468846  -6.235844   0.000000   0.000000 -22.589473  -0.858648   0.000000  -0.530056   0.000000   0.000000  39.441006 -10.697217   5.521521   0.000000   1.253135  -2.014981   0.778304  -3.081228   5.133933  -3.743240 -26.944259  -5.367906  -5.624250 -15.805322   0.000001   0.000000   1.245561   0.000000   0.000000  -0.082442   0.000000
142.915187  -5.517693   0.000000   4.966909  -4.050512  -2.823413   0.000000  -1.809231 -36.233287   0.000000   0.000000  41.874964 -63.498140  -4.574264   0.000000   8.175033   0.000000  72.184681   0.000000  52.154605   0.000000 -16.130915  54.811855   0.000000  -0.182825 -19.195742   0.000000   0.000000   0.000000 -66.412557 -12.983525 -11.748399   0.000000 -14.224742  -5.127959  -2.107581  -3.794928 -13.020176  71.226364   0.000000   0.000000  -0.098824  -1.579926  -5.377237  -1.768325   0.000000  -2.317467  -1.586534   0.000000  -3.038695 -12.134613  17.577285   0.000000   0.000000  -8.764909  -9.168566 -16.016573 -10.805810  -2.702960  -4.979764  -9.022972   5.955786  -9.591885   0.000000  -8.223463   0.871390   5.652473  -3.211083   0.000000   7.302758  18.954732   0.000000   0.000000  86.758595 -17.664556 -53.036592 -17.121033  -0.583215  -1.102399   0.000000   0.000000  -3.801261  -1.681617   0.743396   0.000000  -2.264039  48.935422   0.709465   9.100048   0.000000  31.531093  -7.429714   0.000000  18.092492   0.000000  53.784551   0.000000  -8.547450  16.161829  -2.669663 -42.037083   1.666930   3.737957  51.858680   0.000000   0.271103  -2.683568  -3.795351   0.000000  23.239992   4.715773   0.000000   7.373378   0.000000  14.086338   0.000000 -62.793860  -1.399489  -0.594585  20.395227  -7.382889   0.000000   0.000000   8.597393  -8.968522   0.000000  15.225254  -4.694626   0.000000   8.601560   0.000000   0.000000   0.000000   0.000000   0.000000 -14.364278  -2.448578   0.000000   0.000000  -1.854985  -1.556226  -2.042761   0.000000   0.000000  27.985823   5.183830   1.785379   0.000000 -11.198216   0.000000  -2.513173   0.000000   0.000000  13.160123   0.000000   0.000000 -57.407671  -1.671322  -7.479524  -0.727564  -0.003756   0.000000   6.504500   0.000000 -13.727211   0.000000  -1.550264  -7.141345 -23.556926 -14.888302   0.939006   0.056764  -2.702225   0.000000   9.929071   0.000000   0.000000   7.590233   0.000000 -39.506214   0.000000   0.000000   0.000000  -8.111469  -3.310562   0.000000  -0.351168   5.131742   0.000000 -10.975394  -2.278088  -6.225450   0.000000   0.000000 -22.488554  -0.880943   0.000000  -0.542609   0.000000   0.000000  39.504360 -10.720005   5.642249   0.000000   1.287257  -2.147169   0.790467  -2.543719   5.936923  -3.796197 -25.912876  -2.851534  -4.539434 -15.809366   0.011986   0.000000   1.371727   0.000000   0.000000  -0.067005   0.000000
