NO1 NO2 NO3 NO4 NO5 DE-LU DK1 FI GB NL SE1 SE2 SE3
 0.000000 33.023261  0.000000 15.531324  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 42.592696  0.000000 13.338038  2.320032  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 31.349188  0.000000 10.192987  1.310818  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 22.554750  0.000000 11.667695  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 32.520889  0.000000 10.277023  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 28.089021  0.000000 10.387154  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 33.715156  0.000000 11.814683  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 34.112777  0.000000 15.639069  3.247480  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 39.057923  0.000000 14.239627  9.792369  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 42.538323  0.000000 13.717514 21.818394  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 46.063969  0.000000 15.088000 29.237083  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 52.874857 -0.170297 15.669134 24.369771  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 53.587775 -0.123303 16.245100 30.294437  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 51.698812 -0.078912 16.059630 30.811848  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 53.162334 -0.077417 16.051762 28.330901  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 54.109650 -0.075795 15.811512 32.911960  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 57.387746 -0.079137 15.678464 30.997705  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 58.349795 -0.078355 14.885712 29.473732  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 58.491167 -0.078610 15.458282 29.090069  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.000000 55.465178 -0.078307 15.328453 23.350554  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.023391 50.674742 -0.079823 14.689754 25.657270  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.007833 47.277121  0.000000 14.489634 22.386115  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-0.052942 43.779098  0.000000 13.605086 10.446818  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 36.689566  0.000000 13.970843  3.200517  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 22.336554  0.000000 12.450489 10.160467  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 21.444364  0.000000 11.722170 14.100977  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 23.821790  0.000000 13.301398 10.824036  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 21.051166  0.000000 12.141628  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 18.997795  0.000000 11.187203  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000  7.292727  0.000000 12.531637 -0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 17.293201  0.000000 15.011956  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 30.561827  0.000000 16.794866  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 33.893703  0.000000 15.185722  6.025657  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 42.523933  0.000000 15.233021 11.102704  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 47.581192  0.000000 15.401986 18.169233  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 46.531887  0.000000 15.830816 22.635069  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 47.405298  0.000000 15.716652 18.803809  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 47.059025  0.000000 15.660721 20.555366  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 50.748487  0.000000 15.649292 17.016759  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 49.136491  0.000000 16.023953 26.916693  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
 0.000000 57.162234 -0.150359 15.779017 31.645178  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
