Node_0 Node_1 Node_2 Node_3 Node_4 Node_5 Node_6 Node_7 Node_8 Node_9 Node_10 Node_11 Node_12 Node_13 Node_14 Node_15 Node_16 Node_17 Node_18 Node_19 Node_20 Node_21 Node_22 Node_23 Node_24 Node_25 Node_26 Node_27 Node_28 Node_29 Node_30 Node_31 Node_32 Node_33 Node_34 Node_35 Node_36 Node_37 Node_38 Node_39 Node_40 Node_41 Node_42 Node_43 Node_44 Node_45 Node_46 Node_47 Node_48 Node_49 Node_50 Node_51 Node_52 Node_53 Node_54 Node_55 Node_56 Node_57 Node_58 Node_59 Node_60 Node_61 Node_62 Node_63 Node_64 Node_65 Node_66 Node_67 Node_68 Node_69 Node_70 Node_71 Node_72 Node_73 Node_74 Node_75 Node_76 Node_77 Node_78 Node_79 Node_80 Node_81 Node_82 Node_83 Node_84 Node_85 Node_86 Node_87 Node_88 Node_89 Node_90 Node_91 Node_92 Node_93 Node_94 Node_95 Node_96 Node_97 Node_98 Node_99 Node_100 Node_101 Node_102 Node_103 Node_104 Node_105 Node_106 Node_107 Node_108 Node_109 Node_110 Node_111 Node_112 Node_113 Node_114 Node_115 Node_116 Node_117 Node_118 Node_119 Node_120 Node_121 Node_122 Node_123 Node_124 Node_125 Node_126 Node_127 Node_128 Node_129 Node_130 Node_131 Node_132 Node_133 Node_134 Node_135 Node_136 Node_137 Node_138 Node_139 Node_140 Node_141 Node_142 Node_143 Node_144 Node_145 Node_146 Node_147 Node_148 Node_149 Node_150 Node_151 Node_152 Node_153 Node_154 Node_155 Node_156 Node_157 Node_158 Node_159 Node_160 Node_161 Node_162 Node_163 Node_164 Node_165 Node_166 Node_167 Node_168 Node_169 Node_170 Node_171 Node_172 Node_173 Node_174 Node_175 Node_176 Node_177 Node_178 Node_179 Node_180 Node_181 Node_182 Node_183 Node_184 Node_185 Node_186 Node_187 Node_188 Node_189 Node_190 Node_191 Node_192 Node_193 Node_194 Node_195 Node_196 Node_197 Node_198 Node_199 Node_200 Node_201 Node_202 Node_203 Node_204 Node_205 Node_206 Node_207 Node_208 Node_209 Node_210 Node_211 Node_212 Node_213 Node_214 Node_215 Node_216 Node_217 Node_218 Node_219 Node_220
0.999999 0.999999 0.999990 1.000015 1.000018 0.999998 0.999961 0.999999 0.999997 1.000072 1.000081 0.999940 0.999999 0.999999 0.999895 0.999999 0.998793 0.999999 0.999047 0.999999 0.999245 0.999999 0.999999 0.999798 0.999997 0.999997 0.999963 0.999911 0.999957 0.999999 0.999999 0.999999 1.000013 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999515 0.999603 0.999993 0.999992 0.999992 0.999995 1.000004 0.999999 0.999999 0.999997 0.999999 0.999990 0.999994 1.000008 1.000061 0.999999 0.999999 0.999999 0.999999 0.999999 0.999986 0.999994 0.999954 0.999997 0.999890 0.999972 0.999996 0.999999 0.999999 1.000001 0.999999 0.999999 0.999986 0.999712 0.999999 0.999999 0.999999 0.999978 0.999989 0.999990 0.999955 0.999906 0.999991 0.999992 0.999991 0.999938 0.999990 0.999999 0.999999 0.999985 0.999868 0.999973 0.999992 0.999931 0.999993 1.000032 1.000000 0.999827 0.999995 0.999999 0.999992 0.999999 0.999999 0.999999 0.999999 0.999687 0.999999 0.999999 0.999999 0.999981 0.999997 0.999997 0.999741 0.999999 0.999710 1.000000 1.000000 1.000000 0.999999 0.999999 0.999999 0.999994 1.000047 0.999581 0.999999 0.999999 0.999737 0.999993 0.999976 1.000001 0.999999 0.999974 0.999731 0.999907 0.999746 1.000031 0.999991 0.999997 0.999753 0.999816 0.999997 0.999997 0.999998 0.999487 0.999734 0.999999 0.999999 0.999999 0.999974 0.999999 0.999776 0.999992 0.999914 0.999171 0.999992 0.999658 1.000004 0.999999 0.999999 0.999999 0.999999 0.999999 0.999700 0.999995 0.999769 1.000000 0.999267 0.999997 0.999996 0.999999 0.999997 0.999989 0.999994 0.999994 0.999728 0.999999 0.999410 0.999503 1.000000 0.999666 0.999999 0.999807 0.999764 0.999761 0.999998 0.999999 0.999945 0.999998 0.999990 0.999984 0.999999 0.999999 0.999999 0.998227 0.999719 0.999999 0.999999 0.999993 0.999999 0.999907 0.999850 0.999997 0.999999 0.999994 0.999325 0.999994 0.999993 0.999993 0.999997 0.999997 0.999993 0.999999 0.999999 0.999999 0.999999 0.999994 0.999934 0.999995 0.999973 0.999995 0.999989 0.997974
1.000000 1.000000 1.000010 1.000010 1.000012 0.999999 0.999976 0.999999 0.999999 1.000035 1.000085 0.999941 1.000000 1.000000 0.999900 1.000000 0.998980 1.000000 0.999194 1.000000 0.999356 1.000000 1.000000 0.999781 0.999999 0.999999 0.999966 0.999844 0.999933 1.000000 1.000000 1.000000 1.000008 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999548 0.999144 0.999997 0.999997 0.999997 0.999992 1.000015 1.000000 1.000000 0.999997 1.000000 0.999992 0.999997 1.000015 1.000078 1.000000 1.000000 1.000000 1.000000 1.000000 0.999988 0.999997 0.999957 0.999999 0.999871 0.999970 0.999998 1.000000 1.000000 1.000002 1.000000 1.000000 0.999988 0.999754 1.000000 1.000000 1.000000 0.999982 0.999995 0.999995 0.999926 0.999796 0.999996 0.999996 0.999996 0.999905 0.999996 1.000000 1.000000 0.999985 0.999838 0.999975 0.999997 0.999856 0.999997 1.000021 1.000000 0.999822 0.999991 0.999999 0.999997 1.000000 1.000000 1.000000 1.000000 0.999718 1.000000 1.000000 1.000000 0.999980 0.999999 0.999999 0.999812 1.000000 0.999776 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999997 1.000052 0.999635 1.000000 1.000000 0.999750 0.999997 0.999975 1.000028 1.000000 0.999959 0.999534 0.999839 0.999803 1.000011 0.999993 0.999998 0.999541 0.999818 0.999999 0.999999 0.999999 0.999454 0.999711 1.000000 1.000000 1.000000 0.999975 1.000000 0.999730 0.999996 0.999926 0.999407 0.999997 0.999687 0.999936 1.000000 1.000000 1.000000 1.000000 1.000000 0.999672 0.999998 0.999776 1.000000 0.999377 0.999999 0.999998 1.000000 0.999999 0.999995 0.999997 0.999998 0.999766 1.000000 0.999416 0.999501 1.000000 0.999647 1.000000 0.999620 0.999463 0.999461 0.999999 1.000000 0.999971 0.999999 0.999996 0.999972 1.000000 1.000000 1.000000 0.998508 0.999751 1.000000 1.000000 1.000010 0.999999 0.999932 0.999818 0.999999 1.000000 0.999997 0.998870 0.999997 0.999997 0.999997 0.999999 0.999999 0.999997 1.000000 1.000000 1.000000 0.999999 0.999997 0.999924 0.999998 0.999981 0.999999 0.999995 0.998902
1.000000 1.000000 1.000007 1.000007 1.000008 0.999999 0.999984 1.000000 0.999999 1.000029 1.000087 0.999940 1.000000 1.000000 0.999904 1.000000 0.999052 1.000000 0.999256 1.000000 0.999405 1.000000 1.000000 0.999785 0.999999 0.999999 0.999965 0.999835 0.999934 1.000000 1.000000 1.000000 1.000020 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999568 0.998912 0.999997 0.999997 0.999997 0.999994 1.000013 1.000000 1.000000 0.999997 1.000000 0.999994 0.999998 1.000013 1.000056 1.000000 1.000000 1.000000 1.000000 1.000000 0.999991 0.999998 0.999967 0.999999 0.999867 0.999978 0.999999 1.000000 1.000000 1.000002 1.000000 1.000000 0.999989 0.999782 1.000000 1.000000 1.000000 0.999986 0.999996 0.999996 0.999923 0.999756 0.999997 0.999997 0.999997 0.999901 0.999997 1.000000 1.000000 0.999989 0.999831 0.999975 0.999997 0.999822 0.999997 1.000015 1.000000 0.999829 0.999992 1.000000 0.999997 1.000000 1.000000 1.000000 1.000000 0.999745 1.000000 1.000000 1.000000 0.999981 0.999999 0.999999 0.999856 1.000000 0.999817 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999998 1.000040 0.999668 1.000000 1.000000 0.999765 0.999997 0.999982 1.000020 1.000000 0.999962 0.999439 0.999832 0.999849 1.000007 0.999993 0.999998 0.999425 0.999829 0.999999 0.999999 0.999999 0.999455 0.999713 1.000000 1.000000 1.000000 0.999977 1.000000 0.999722 0.999997 0.999938 0.999545 0.999997 0.999709 0.999914 1.000000 1.000000 1.000000 1.000000 1.000000 0.999676 0.999998 0.999792 1.000000 0.999425 0.999999 0.999999 1.000000 0.999999 0.999996 0.999998 0.999998 0.999792 1.000000 0.999449 0.999524 1.000000 0.999659 1.000000 0.999527 0.999296 0.999299 1.000000 1.000000 0.999986 1.000000 0.999996 0.999972 1.000000 1.000000 1.000000 0.998631 0.999773 1.000000 1.000000 1.000024 1.000000 0.999948 0.999806 0.999999 1.000000 0.999998 0.998726 0.999998 0.999998 0.999998 0.999999 0.999999 0.999997 1.000000 1.000000 1.000000 1.000000 0.999998 0.999923 0.999998 0.999994 1.000001 0.999996 0.999349
1.000000 1.000000 1.000005 1.000010 1.000011 0.999999 0.999978 1.000000 0.999999 1.000027 1.000087 0.999940 1.000000 1.000000 0.999909 1.000000 0.999072 1.000000 0.999281 1.000000 0.999429 1.000000 1.000000 0.999791 0.999999 0.999999 0.999967 0.999836 0.999936 1.000000 1.000000 1.000000 1.000009 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999572 0.998896 0.999997 0.999997 0.999997 0.999993 1.000013 1.000000 1.000000 0.999997 1.000000 0.999995 0.999998 1.000010 1.000045 1.000000 1.000000 1.000000 1.000000 1.000000 0.999992 0.999998 0.999970 0.999999 0.999871 0.999982 0.999999 1.000000 1.000000 1.000002 1.000000 1.000000 0.999990 0.999793 1.000000 1.000000 1.000000 0.999987 0.999996 0.999996 0.999921 0.999748 0.999997 0.999997 0.999997 0.999900 0.999996 1.000000 1.000000 0.999991 0.999834 0.999975 0.999997 0.999816 0.999997 1.000014 1.000000 0.999839 0.999992 1.000000 0.999997 1.000000 1.000000 1.000000 1.000000 0.999760 1.000000 1.000000 1.000000 0.999981 0.999999 0.999999 0.999871 1.000000 0.999831 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999998 1.000036 0.999679 1.000000 1.000000 0.999773 0.999997 0.999985 1.000014 1.000000 0.999963 0.999420 0.999834 0.999864 1.000005 0.999993 0.999998 0.999424 0.999839 0.999999 0.999999 0.999999 0.999475 0.999725 1.000000 1.000000 1.000000 0.999978 1.000000 0.999723 0.999997 0.999942 0.999578 0.999997 0.999730 0.999910 1.000000 1.000000 1.000000 1.000000 1.000000 0.999679 0.999998 0.999797 1.000000 0.999446 0.999999 0.999999 1.000000 0.999999 0.999996 0.999998 0.999998 0.999807 1.000000 0.999483 0.999550 1.000000 0.999674 1.000000 0.999517 0.999320 0.999324 1.000000 1.000000 0.999990 1.000000 0.999996 0.999970 1.000000 1.000000 1.000000 0.998681 0.999784 1.000000 1.000000 1.000025 1.000000 0.999951 0.999799 0.999999 1.000000 0.999998 0.998707 0.999998 0.999998 0.999998 0.999999 0.999999 0.999997 1.000000 1.000000 1.000000 1.000000 0.999998 0.999925 0.999998 0.999976 1.000014 0.999996 0.999405
1.000000 1.000000 1.000006 1.000010 1.000012 0.999999 0.999976 1.000000 0.999999 1.000027 1.000087 0.999940 1.000000 1.000000 0.999910 1.000000 0.999080 1.000000 0.999291 1.000000 0.999438 1.000000 1.000000 0.999792 0.999999 0.999999 0.999967 0.999836 0.999936 1.000000 1.000000 1.000000 1.000016 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999572 0.998873 0.999997 0.999997 0.999997 0.999993 1.000013 1.000000 1.000000 0.999997 1.000000 0.999994 0.999998 1.000011 1.000049 1.000000 1.000000 1.000000 1.000000 1.000000 0.999992 0.999998 0.999970 0.999999 0.999871 0.999980 0.999999 1.000000 1.000000 1.000002 1.000000 1.000000 0.999990 0.999792 1.000000 1.000000 1.000000 0.999987 0.999996 0.999996 0.999922 0.999749 0.999997 0.999997 0.999997 0.999902 0.999996 1.000000 1.000000 0.999990 0.999834 0.999975 0.999997 0.999816 0.999997 1.000014 1.000000 0.999837 0.999992 1.000000 0.999997 1.000000 1.000000 1.000000 1.000000 0.999759 1.000000 1.000000 1.000000 0.999981 0.999999 0.999999 0.999871 1.000000 0.999830 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999998 1.000036 0.999679 1.000000 1.000000 0.999773 0.999997 0.999984 1.000016 1.000000 0.999963 0.999419 0.999834 0.999864 1.000006 0.999993 0.999998 0.999409 0.999839 0.999999 0.999999 0.999999 0.999476 0.999723 1.000000 1.000000 1.000000 0.999978 1.000000 0.999724 0.999997 0.999941 0.999581 0.999997 0.999729 0.999912 1.000000 1.000000 1.000000 1.000000 1.000000 0.999680 0.999998 0.999797 1.000000 0.999451 0.999999 0.999999 1.000000 0.999999 0.999996 0.999998 0.999998 0.999807 1.000000 0.999477 0.999544 1.000000 0.999674 1.000000 0.999510 0.999280 0.999283 0.999999 1.000000 0.999990 0.999999 0.999996 0.999972 1.000000 1.000000 1.000000 0.998692 0.999784 1.000000 1.000000 1.000025 1.000000 0.999951 0.999801 0.999999 1.000000 0.999998 0.998713 0.999998 0.999997 0.999997 0.999999 0.999999 0.999997 1.000000 1.000000 1.000000 1.000000 0.999998 0.999925 0.999998 0.999977 1.000007 0.999996 0.999414
1.000000 1.000000 1.000008 1.000009 1.000011 0.999999 0.999978 1.000000 0.999999 1.000027 1.000087 0.999940 1.000000 1.000000 0.999909 1.000000 0.999071 1.000000 0.999281 1.000000 0.999429 1.000000 1.000000 0.999790 0.999999 0.999999 0.999967 0.999837 0.999936 1.000000 1.000000 1.000000 1.000016 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999568 0.998882 0.999997 0.999997 0.999997 0.999993 1.000013 1.000000 1.000000 0.999997 1.000000 0.999994 0.999998 1.000014 1.000061 1.000000 1.000000 1.000000 1.000000 1.000000 0.999990 0.999998 0.999968 0.999999 0.999871 0.999976 0.999999 1.000000 1.000000 1.000002 1.000000 1.000000 0.999990 0.999789 1.000000 1.000000 1.000000 0.999986 0.999996 0.999996 0.999924 0.999751 0.999997 0.999997 0.999997 0.999903 0.999996 1.000000 1.000000 0.999988 0.999832 0.999975 0.999997 0.999817 0.999997 1.000014 1.000000 0.999836 0.999992 1.000000 0.999997 1.000000 1.000000 1.000000 1.000000 0.999755 1.000000 1.000000 1.000000 0.999981 0.999999 0.999999 0.999867 1.000000 0.999826 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999998 1.000038 0.999675 1.000000 1.000000 0.999771 0.999997 0.999980 1.000021 1.000000 0.999963 0.999424 0.999835 0.999862 1.000006 0.999993 0.999998 0.999414 0.999837 0.999999 0.999999 0.999999 0.999472 0.999722 1.000000 1.000000 1.000000 0.999978 1.000000 0.999724 0.999997 0.999939 0.999572 0.999997 0.999726 0.999912 1.000000 1.000000 1.000000 1.000000 1.000000 0.999679 0.999998 0.999796 1.000000 0.999447 0.999999 0.999999 1.000000 0.999999 0.999996 0.999998 0.999998 0.999805 1.000000 0.999469 0.999539 1.000000 0.999671 1.000000 0.999515 0.999286 0.999289 0.999999 1.000000 0.999989 0.999999 0.999996 0.999973 1.000000 1.000000 1.000000 0.998681 0.999781 1.000000 1.000000 1.000025 1.000000 0.999950 0.999804 0.999999 1.000000 0.999998 0.998709 0.999998 0.999998 0.999998 0.999999 0.999999 0.999997 1.000000 1.000000 1.000000 1.000000 0.999998 0.999924 0.999998 1.000003 1.000005 0.999996 0.999396
1.000000 1.000000 1.000011 1.000011 1.000012 0.999999 0.999975 1.000000 0.999999 1.000040 1.000086 0.999941 1.000000 1.000000 0.999903 1.000000 0.998965 1.000000 0.999195 1.000000 0.999363 1.000000 1.000000 0.999795 0.999999 0.999999 0.999968 0.999857 0.999938 1.000000 1.000000 1.000000 1.000020 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999542 0.999137 0.999997 0.999997 0.999997 0.999992 1.000017 1.000000 1.000000 0.999997 1.000000 0.999992 0.999998 1.000016 1.000078 1.000000 1.000000 1.000000 1.000000 1.000000 0.999988 0.999997 0.999965 0.999999 0.999880 0.999969 0.999998 1.000000 1.000000 1.000002 1.000000 1.000000 0.999988 0.999759 1.000000 1.000000 1.000000 0.999984 0.999995 0.999996 0.999934 0.999813 0.999996 0.999997 0.999996 0.999914 0.999996 1.000000 1.000000 0.999985 0.999846 0.999975 0.999997 0.999858 0.999997 1.000022 1.000000 0.999829 0.999990 0.999999 0.999997 1.000000 1.000000 1.000000 1.000000 0.999727 1.000000 1.000000 1.000000 0.999981 0.999999 0.999999 0.999819 1.000000 0.999783 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999998 1.000042 0.999639 1.000000 1.000000 0.999758 0.999997 0.999975 1.000028 1.000000 0.999963 0.999530 0.999852 0.999813 1.000016 0.999993 0.999998 0.999538 0.999825 0.999999 0.999999 0.999999 0.999469 0.999724 1.000000 1.000000 1.000000 0.999976 1.000000 0.999752 0.999997 0.999933 0.999447 0.999997 0.999693 0.999949 1.000000 1.000000 1.000000 1.000000 1.000000 0.999698 0.999998 0.999793 1.000000 0.999384 0.999999 0.999999 1.000000 0.999999 0.999995 0.999998 0.999998 0.999767 1.000000 0.999437 0.999518 1.000000 0.999661 1.000000 0.999620 0.999463 0.999461 0.999999 1.000000 0.999974 0.999999 0.999996 0.999976 1.000000 1.000000 1.000000 0.998519 0.999757 1.000000 1.000000 1.000016 1.000000 0.999938 0.999819 0.999999 1.000000 0.999997 0.998932 0.999997 0.999997 0.999997 0.999999 0.999999 0.999997 1.000000 1.000000 1.000000 0.999999 0.999998 0.999929 0.999998 0.999995 0.999999 0.999995 0.998899
0.999999 0.999999 0.999987 1.000024 1.000028 0.999998 0.999944 0.999999 0.999998 1.000078 1.000082 0.999941 0.999999 0.999999 0.999893 0.999999 0.998758 0.999999 0.999018 0.999999 0.999220 0.999999 0.999999 0.999809 0.999997 0.999997 0.999965 0.999940 0.999973 0.999999 0.999999 0.999999 1.000009 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999497 0.999725 0.999994 0.999994 0.999994 0.999997 1.000001 0.999999 0.999999 0.999997 0.999999 0.999990 0.999995 1.000014 1.000073 0.999999 0.999999 0.999999 0.999999 0.999999 0.999986 0.999995 0.999956 0.999998 0.999899 0.999969 0.999997 0.999999 0.999999 1.000001 0.999999 0.999999 0.999985 0.999688 1.000000 0.999999 0.999999 0.999980 0.999992 0.999992 0.999970 0.999942 0.999993 0.999993 0.999993 0.999953 0.999992 0.999999 0.999999 0.999984 0.999878 0.999974 0.999994 0.999962 0.999994 1.000038 1.000000 0.999822 0.999997 0.999999 0.999994 1.000000 0.999999 0.999999 1.000000 0.999649 0.999999 0.999999 1.000000 0.999981 0.999998 0.999998 0.999716 0.999999 0.999684 1.000000 1.000000 1.000000 0.999999 0.999999 1.000000 0.999995 1.000047 0.999557 0.999999 0.999999 0.999726 0.999994 0.999974 0.999997 1.000000 0.999986 0.999771 0.999939 0.999720 1.000044 0.999992 0.999998 0.999822 0.999811 0.999997 0.999998 0.999998 0.999479 0.999733 1.000000 1.000000 0.999999 0.999973 0.999999 0.999798 0.999993 0.999912 0.999142 0.999994 0.999649 1.000027 1.000000 0.999999 0.999999 0.999999 0.999999 0.999718 0.999996 0.999776 1.000000 0.999244 0.999998 0.999997 1.000000 0.999998 0.999992 0.999995 0.999995 0.999720 1.000000 0.999395 0.999492 1.000000 0.999668 0.999999 0.999870 0.999848 0.999849 0.999999 1.000000 0.999939 0.999999 0.999992 0.999994 0.999999 0.999999 0.999999 0.998168 0.999706 1.000000 0.999999 0.999984 0.999999 0.999905 0.999859 0.999998 0.999999 0.999995 0.999446 0.999995 0.999995 0.999995 0.999997 0.999997 0.999994 1.000000 1.000000 1.000000 0.999999 0.999995 0.999940 0.999996 0.999979 0.999994 0.999992 0.997815
0.999999 0.999999 0.999974 1.000035 1.000041 0.999999 0.999921 0.999999 0.999998 1.000063 1.000083 0.999942 0.999999 0.999999 0.999888 0.999999 0.998652 0.999999 0.998924 0.999999 0.999146 0.999999 0.999999 0.999827 0.999998 0.999998 0.999966 1.000001 1.000011 0.999999 0.999999 0.999999 1.000005 0.999999 0.999999 0.999999 0.999999 0.999999 0.999999 0.999469 0.999935 1.000000 1.000000 1.000000 1.000003 0.999988 0.999999 0.999999 0.999997 0.999999 0.999995 0.999999 1.000013 1.000059 0.999999 0.999999 0.999999 0.999999 0.999999 0.999991 0.999999 0.999961 0.999998 0.999914 0.999977 0.999998 0.999999 0.999999 1.000001 0.999999 0.999999 0.999984 0.999651 0.999999 0.999999 0.999999 0.999985 1.000004 1.000003 1.000005 1.000001 1.000001 1.000000 1.000001 0.999989 1.000002 0.999999 0.999999 0.999988 0.999899 0.999976 1.000000 1.000011 1.000001 1.000052 1.000000 0.999815 1.000004 0.999999 1.000000 0.999999 0.999999 0.999999 1.000000 0.999608 0.999999 0.999999 0.999999 0.999981 0.999999 0.999999 0.999672 0.999999 0.999640 1.000000 1.000000 1.000000 0.999999 0.999999 1.000000 0.999999 1.000053 0.999516 0.999999 0.999999 0.999708 1.000000 0.999981 0.999976 0.999999 1.000016 0.999858 1.000002 0.999676 1.000064 0.999993 0.999999 0.999936 0.999806 0.999998 0.999998 0.999999 0.999474 0.999729 0.999999 0.999999 0.999999 0.999972 0.999999 0.999821 1.000000 0.999908 0.999061 1.000000 0.999646 1.000066 0.999999 0.999999 0.999999 0.999999 0.999999 0.999733 0.999999 0.999775 1.000000 0.999166 0.999998 0.999998 1.000000 0.999998 1.000004 0.999999 0.999999 0.999719 1.000000 0.999377 0.999478 1.000000 0.999661 0.999999 0.999974 0.999994 0.999996 0.999999 1.000000 0.999927 0.999999 1.000003 1.000021 0.999999 0.999999 0.999999 0.997981 0.999685 1.000000 0.999999 0.999966 0.999999 0.999900 0.999884 0.999999 0.999999 0.999999 0.999654 0.999999 0.999999 0.999999 0.999998 0.999998 1.000000 0.999999 0.999999 0.999999 0.999999 0.999999 0.999949 0.999999 0.999974 0.999993 1.000004 0.997404
1.000000 1.000000 0.999978 1.000066 1.000079 1.000001 0.999855 0.999999 1.000003 1.000111 1.000090 0.999949 0.999999 0.999999 0.999884 0.999999 0.998558 0.999999 0.998848 0.999999 0.999087 0.999999 0.999999 0.999832 1.000004 1.000003 0.999972 1.000078 1.000073 0.999999 0.999999 0.999999 1.000004 0.999999 0.999999 0.999999 0.999999 0.999999 1.000000 0.999437 1.000103 1.000023 1.000025 1.000025 1.000009 0.999982 0.999999 0.999999 0.999997 0.999999 1.000010 1.000014 1.000021 1.000059 1.000000 0.999999 0.999999 0.999999 0.999999 1.000006 1.000016 0.999985 1.000003 0.999924 0.999989 1.000007 0.999999 0.999999 1.000001 1.000000 1.000000 0.999984 0.999616 1.000000 0.999999 0.999999 1.000009 1.000048 1.000046 1.000062 1.000078 1.000031 1.000028 1.000034 1.000051 1.000039 1.000000 0.999999 0.999998 0.999911 0.999982 1.000024 1.000068 1.000026 1.000081 1.000000 0.999808 1.000010 1.000000 1.000024 0.999999 0.999999 0.999999 1.000000 0.999572 0.999999 0.999999 1.000000 0.999980 1.000003 1.000002 0.999638 1.000000 0.999605 1.000000 1.000000 1.000000 0.999999 0.999999 1.000000 1.000014 1.000067 0.999480 1.000000 0.999999 0.999692 1.000024 0.999995 0.999974 0.999999 1.000073 0.999909 1.000082 0.999647 1.000101 0.999999 1.000002 1.000035 0.999803 1.000003 1.000002 1.000000 0.999461 0.999720 1.000000 1.000000 1.000000 0.999972 0.999999 0.999865 1.000028 0.999924 0.999016 1.000026 0.999647 1.000121 0.999999 1.000000 0.999999 0.999999 0.999999 0.999775 1.000012 0.999801 1.000000 0.999116 1.000003 1.000005 1.000000 1.000002 1.000049 1.000014 1.000013 0.999723 1.000000 0.999361 0.999465 1.000000 0.999648 0.999999 1.000066 1.000114 1.000118 1.000000 1.000000 0.999922 1.000000 1.000042 1.000068 0.999999 0.999999 0.999999 0.997861 0.999670 1.000000 1.000000 0.999952 0.999999 0.999915 0.999897 1.000004 0.999999 1.000017 0.999851 1.000015 1.000019 1.000019 1.000004 1.000004 1.000023 0.999999 0.999999 0.999999 1.000000 1.000014 0.999958 1.000010 0.999983 0.999991 1.000049 0.997195
